card_id,video,track_id,label,labeler,notes
T006_045,VID_20260224_162848_00_006,9332,parked,claude-visual-review,
T006_046,VID_20260224_162848_00_006,9541,oncoming,claude-visual-review,
T006_047,VID_20260224_162848_00_006,9826,parked,claude-visual-review,
T006_048,VID_20260224_162848_00_006,9831,parked,claude-visual-review,
T006_049,VID_20260224_162848_00_006,10148,adjacent_same,claude-visual-review,delivery van stopped in the travel lane beside the bike lane
T006_050,VID_20260224_162848_00_006,10698,parked,claude-visual-review,
T006_051,VID_20260224_162848_00_006,10705,parked,claude-visual-review,
T006_052,VID_20260224_162848_00_006,11057,parked,claude-visual-review,
T006_053,VID_20260224_162848_00_006,11417,parked,claude-visual-review,moving truck stopped at curb
T006_054,VID_20260224_162848_00_006,11540,cross_side,claude-visual-review,
T006_055,VID_20260224_162848_00_006,12317,parked,claude-visual-review,
T006_056,VID_20260224_162848_00_006,12545,parked,claude-visual-review,
T006_057,VID_20260224_162848_00_006,12794,adjacent_same,claude-visual-review,
T006_058,VID_20260224_162848_00_006,13354,parked,claude-visual-review,
T006_059,VID_20260224_162848_00_006,13365,parked,claude-visual-review,
T006_060,VID_20260224_162848_00_006,13427,oncoming,claude-visual-review,
T006_061,VID_20260224_162848_00_006,548,cross_side,claude-visual-review,across the road from a campus sidewalk (was labelled separated)
T006_062,VID_20260224_162848_00_006,1528,parked,claude-visual-review,
T006_063,VID_20260224_162848_00_006,2035,parked,claude-visual-review,
T006_064,VID_20260224_162848_00_006,2163,parked,claude-visual-review,possible id switch
T006_065,VID_20260224_162848_00_006,2223,parked,claude-visual-review,
T006_066,VID_20260224_162848_00_006,2572,parked,claude-visual-review,
T006_067,VID_20260224_162848_00_006,2652,parked,claude-visual-review,
T006_068,VID_20260224_162848_00_006,2878,cross_side,claude-visual-review,
T006_069,VID_20260224_162848_00_006,4074,parked,claude-visual-review,box truck stopped at the cross-street curb
T006_070,VID_20260224_162848_00_006,4397,oncoming,claude-visual-review,
T006_071,VID_20260224_162848_00_006,5016,parked,claude-visual-review,
T006_072,VID_20260224_162848_00_006,5086,parked,claude-visual-review,
T006_073,VID_20260224_162848_00_006,5695,unclear,claude-visual-review,
T006_074,VID_20260224_162848_00_006,5749,parked,claude-visual-review,
T006_075,VID_20260224_162848_00_006,6553,parked,claude-visual-review,
T006_076,VID_20260224_162848_00_006,6969,unclear,claude-visual-review,
T006_077,VID_20260224_162848_00_006,7357,parked,claude-visual-review,
T006_078,VID_20260224_162848_00_006,7489,parked,claude-visual-review,
T006_079,VID_20260224_162848_00_006,7989,parked,claude-visual-review,
T006_080,VID_20260224_162848_00_006,8346,cross_side,claude-visual-review,
T006_081,VID_20260224_162848_00_006,8443,cross_side,claude-visual-review,
T006_082,VID_20260224_162848_00_006,8802,parked,claude-visual-review,
T006_083,VID_20260224_162848_00_006,9175,parked,claude-visual-review,
T006_084,VID_20260224_162848_00_006,9476,parked,claude-visual-review,
T006_085,VID_20260224_162848_00_006,9533,adjacent_same,claude-visual-review,traffic ahead beside the vehicle directly in front
T006_086,VID_20260224_162848_00_006,10455,parked,claude-visual-review,
T006_087,VID_20260224_162848_00_006,11361,unclear,claude-visual-review,blocked by the moving truck
T006_088,VID_20260224_162848_00_006,11817,cross_side,claude-visual-review,
T006_089,VID_20260224_162848_00_006,11917,cross_side,claude-visual-review,
T006_090,VID_20260224_162848_00_006,12636,unclear,claude-visual-review,"ambiguous, possibly pulling out"
T001_001,VID_20260209_090112_00_001,34,parked,claude-visual-review,
T001_002,VID_20260209_090112_00_001,127,parked,claude-visual-review,
T001_003,VID_20260209_090112_00_001,193,parked,claude-visual-review,
T001_004,VID_20260209_090112_00_001,199,parked,claude-visual-review,
T001_005,VID_20260209_090112_00_001,215,parked,claude-visual-review,
T001_006,VID_20260209_090112_00_001,310,unclear,claude-visual-review,
T001_007,VID_20260209_090112_00_001,580,parked,claude-visual-review,
T001_008,VID_20260209_090112_00_001,717,unclear,claude-visual-review,
T001_009,VID_20260209_090112_00_001,764,unclear,claude-visual-review,
T001_010,VID_20260209_090112_00_001,1222,ego_lane,claude-visual-review,traffic ahead beyond the car directly in front
T001_011,VID_20260209_090112_00_001,1250,adjacent_same,claude-visual-review,traffic ahead in the next lane
T001_012,VID_20260209_090112_00_001,1868,parked,claude-visual-review,
T001_013,VID_20260209_090112_00_001,2014,oncoming,claude-visual-review,
T001_014,VID_20260209_090112_00_001,2063,parked,claude-visual-review,
T001_015,VID_20260209_090112_00_001,2257,parked,claude-visual-review,parked truck with its door open
T001_016,VID_20260209_090112_00_001,2351,ego_lane,claude-visual-review,large SUV directly ahead at a light
T001_017,VID_20260209_090112_00_001,2438,oncoming,claude-visual-review,
T001_018,VID_20260209_090112_00_001,2662,parked,claude-visual-review,
T001_019,VID_20260209_090112_00_001,2738,parked,claude-visual-review,
T001_020,VID_20260209_090112_00_001,2796,parked,claude-visual-review,
T001_021,VID_20260209_090112_00_001,2826,parked,claude-visual-review,
T001_022,VID_20260209_090112_00_001,2934,parked,claude-visual-review,
T001_023,VID_20260209_090112_00_001,3183,parked,claude-visual-review,
T001_024,VID_20260209_090112_00_001,3240,parked,claude-visual-review,
T001_025,VID_20260209_090112_00_001,3341,cross_side,claude-visual-review,
T001_026,VID_20260209_090112_00_001,3469,parked,claude-visual-review,
T001_027,VID_20260209_090112_00_001,3489,parked,claude-visual-review,
T001_028,VID_20260209_090112_00_001,3542,parked,claude-visual-review,
T001_029,VID_20260209_090112_00_001,3621,parked,claude-visual-review,
T001_030,VID_20260209_090112_00_001,3740,parked,claude-visual-review,
T001_031,VID_20260209_090112_00_001,3743,unclear,claude-visual-review,"dumpster, not a vehicle"
T001_032,VID_20260209_090112_00_001,3818,unclear,claude-visual-review,
T001_033,VID_20260209_090112_00_001,3824,parked,claude-visual-review,
T001_034,VID_20260209_090112_00_001,3878,parked,claude-visual-review,
T001_035,VID_20260209_090112_00_001,3967,unclear,claude-visual-review,
T001_036,VID_20260209_090112_00_001,4048,parked,claude-visual-review,
T001_037,VID_20260209_090112_00_001,4133,parked,claude-visual-review,
T001_038,VID_20260209_090112_00_001,4330,parked,claude-visual-review,
T001_039,VID_20260209_090112_00_001,4738,parked,claude-visual-review,
T001_040,VID_20260209_090112_00_001,4858,adjacent_same,claude-visual-review,stopped traffic the rider filters past
T001_041,VID_20260209_090112_00_001,4967,parked,claude-visual-review,
T001_042,VID_20260209_090112_00_001,5016,parked,claude-visual-review,
T001_043,VID_20260209_090112_00_001,5143,parked,claude-visual-review,
T001_044,VID_20260209_090112_00_001,5531,oncoming,claude-visual-review,across a wide boulevard
T001_045,VID_20260209_090112_00_001,5779,parked,claude-visual-review,
T001_046,VID_20260209_090112_00_001,6007,parked,claude-visual-review,stopped in the green bike lane
T001_047,VID_20260209_090112_00_001,6180,parked,claude-visual-review,
T001_048,VID_20260209_090112_00_001,6187,parked,claude-visual-review,
T001_049,VID_20260209_090112_00_001,6795,parked,claude-visual-review,
T001_050,VID_20260209_090112_00_001,6896,parked,claude-visual-review,
T001_051,VID_20260209_090112_00_001,6969,parked,claude-visual-review,
T001_052,VID_20260209_090112_00_001,7011,parked,claude-visual-review,
T001_053,VID_20260209_090112_00_001,7344,parked,claude-visual-review,
T001_054,VID_20260209_090112_00_001,7504,parked,claude-visual-review,
T001_055,VID_20260209_090112_00_001,7535,parked,claude-visual-review,
T001_056,VID_20260209_090112_00_001,7585,parked,claude-visual-review,parked facing the rider on the far side
T001_057,VID_20260209_090112_00_001,7712,parked,claude-visual-review,
T001_058,VID_20260209_090112_00_001,7720,unclear,claude-visual-review,
T001_059,VID_20260209_090112_00_001,8236,unclear,claude-visual-review,
T001_060,VID_20260209_090112_00_001,8392,cross_side,claude-visual-review,
T003_001,VID_20260223_090217_00_003,2,ego_lane,claude-visual-review,
T003_002,VID_20260223_090217_00_003,156,parked,claude-visual-review,
T003_003,VID_20260223_090217_00_003,437,parked,claude-visual-review,
T003_004,VID_20260223_090217_00_003,500,cross_side,claude-visual-review,
T003_005,VID_20260223_090217_00_003,539,parked,claude-visual-review,
T003_006,VID_20260223_090217_00_003,649,adjacent_same,claude-visual-review,ambiguous: rear visible on the left side
T003_007,VID_20260223_090217_00_003,758,unclear,claude-visual-review,
T003_008,VID_20260223_090217_00_003,781,unclear,claude-visual-review,
T003_009,VID_20260223_090217_00_003,783,parked,claude-visual-review,
T003_010,VID_20260223_090217_00_003,877,parked,claude-visual-review,
T003_011,VID_20260223_090217_00_003,990,parked,claude-visual-review,
T003_012,VID_20260223_090217_00_003,1246,parked,claude-visual-review,
T003_013,VID_20260223_090217_00_003,1542,cross_side,claude-visual-review,
T003_014,VID_20260223_090217_00_003,1556,parked,claude-visual-review,
T003_015,VID_20260223_090217_00_003,1583,oncoming,claude-visual-review,
T003_016,VID_20260223_090217_00_003,1607,ego_lane,claude-visual-review,overtook the rider then continued ahead in the lane
T003_017,VID_20260223_090217_00_003,1659,adjacent_same,claude-visual-review,overtaking vehicle
T003_018,VID_20260223_090217_00_003,1774,parked,claude-visual-review,
T003_019,VID_20260223_090217_00_003,2039,cross_side,claude-visual-review,
T003_020,VID_20260223_090217_00_003,2072,cross_side,claude-visual-review,
T003_021,VID_20260223_090217_00_003,2093,cross_side,claude-visual-review,
T003_022,VID_20260223_090217_00_003,2242,adjacent_same,claude-visual-review,same-direction traffic leapfrogging the rider
T003_023,VID_20260223_090217_00_003,2243,unclear,claude-visual-review,
T003_024,VID_20260223_090217_00_003,2304,adjacent_same,claude-visual-review,same-direction traffic
T003_025,VID_20260223_090217_00_003,2417,parked,claude-visual-review,
T003_026,VID_20260223_090217_00_003,3136,cross_side,claude-visual-review,
T003_027,VID_20260223_090217_00_003,3328,unclear,claude-visual-review,"trash bin, not a vehicle"
T003_028,VID_20260223_090217_00_003,3635,parked,claude-visual-review,
T003_029,VID_20260223_090217_00_003,3857,parked,claude-visual-review,
T003_030,VID_20260223_090217_00_003,4299,adjacent_same,claude-visual-review,
T003_031,VID_20260223_090217_00_003,4341,adjacent_same,claude-visual-review,travel lane beside the rider's bike lane
T003_032,VID_20260223_090217_00_003,4599,adjacent_same,claude-visual-review,travel lane beside the rider's bike lane
T003_033,VID_20260223_090217_00_003,4631,adjacent_same,claude-visual-review,
T003_034,VID_20260223_090217_00_003,4810,adjacent_same,claude-visual-review,
T003_035,VID_20260223_090217_00_003,4841,parked,claude-visual-review,
T003_036,VID_20260223_090217_00_003,4953,parked,claude-visual-review,
T003_037,VID_20260223_090217_00_003,5011,parked,claude-visual-review,
T003_038,VID_20260223_090217_00_003,5521,cross_side,claude-visual-review,
T003_039,VID_20260223_090217_00_003,5562,cross_side,claude-visual-review,
T003_040,VID_20260223_090217_00_003,5594,cross_side,claude-visual-review,
T003_041,VID_20260223_090217_00_003,5676,parked,claude-visual-review,
T003_042,VID_20260223_090217_00_003,5680,adjacent_same,claude-visual-review,
T003_043,VID_20260223_090217_00_003,5679,cross_side,claude-visual-review,
T003_044,VID_20260223_090217_00_003,5681,parked,claude-visual-review,
T003_045,VID_20260223_090217_00_003,5966,adjacent_same,claude-visual-review,stopped in the travel lane beside the green bike lane
T003_046,VID_20260223_090217_00_003,6261,oncoming,claude-visual-review,
T003_047,VID_20260223_090217_00_003,6568,adjacent_same,claude-visual-review,
T003_048,VID_20260223_090217_00_003,6627,adjacent_same,claude-visual-review,
T003_049,VID_20260223_090217_00_003,6656,unclear,claude-visual-review,
T003_050,VID_20260223_090217_00_003,6972,cross_side,claude-visual-review,
T003_051,VID_20260223_090217_00_003,6988,cross_side,claude-visual-review,
T003_052,VID_20260223_090217_00_003,7047,cross_side,claude-visual-review,
T003_053,VID_20260223_090217_00_003,7062,cross_side,claude-visual-review,
T003_054,VID_20260223_090217_00_003,7472,parked,claude-visual-review,
T003_055,VID_20260223_090217_00_003,7532,parked,claude-visual-review,
T003_056,VID_20260223_090217_00_003,7792,parked,claude-visual-review,
T003_057,VID_20260223_090217_00_003,7820,unclear,claude-visual-review,
T003_058,VID_20260223_090217_00_003,7866,unclear,claude-visual-review,
T003_059,VID_20260223_090217_00_003,8211,parked,claude-visual-review,
T003_060,VID_20260223_090217_00_003,8598,unclear,claude-visual-review,
T005_001,VID_20260224_091119_00_005,23,parked,claude-visual-review,
T005_002,VID_20260224_091119_00_005,24,parked,claude-visual-review,
T005_003,VID_20260224_091119_00_005,131,parked,claude-visual-review,
T005_004,VID_20260224_091119_00_005,289,unclear,claude-visual-review,"pedestrian, not a vehicle"
T005_005,VID_20260224_091119_00_005,591,parked,claude-visual-review,
T005_006,VID_20260224_091119_00_005,595,parked,claude-visual-review,
T005_007,VID_20260224_091119_00_005,711,parked,claude-visual-review,
T005_008,VID_20260224_091119_00_005,729,parked,claude-visual-review,
T005_009,VID_20260224_091119_00_005,732,parked,claude-visual-review,
T005_010,VID_20260224_091119_00_005,754,unclear,claude-visual-review,"rubbish pile, not a vehicle"
T005_011,VID_20260224_091119_00_005,834,unclear,claude-visual-review,
T005_012,VID_20260224_091119_00_005,1537,ego_lane,claude-visual-review,followed the same car for 97 s in the rider's lane
T005_013,VID_20260224_091119_00_005,1660,unclear,claude-visual-review,
T005_014,VID_20260224_091119_00_005,1768,parked,claude-visual-review,
T005_015,VID_20260224_091119_00_005,1834,unclear,claude-visual-review,
T005_016,VID_20260224_091119_00_005,2107,unclear,claude-visual-review,
T005_017,VID_20260224_091119_00_005,2172,parked,claude-visual-review,
T005_018,VID_20260224_091119_00_005,2373,parked,claude-visual-review,
T005_019,VID_20260224_091119_00_005,2681,parked,claude-visual-review,
T005_020,VID_20260224_091119_00_005,2829,parked,claude-visual-review,
T005_021,VID_20260224_091119_00_005,2949,ego_lane,claude-visual-review,delivery moped ahead in the rider's lane
T005_022,VID_20260224_091119_00_005,3074,parked,claude-visual-review,
T005_023,VID_20260224_091119_00_005,3162,parked,claude-visual-review,
T005_024,VID_20260224_091119_00_005,3615,parked,claude-visual-review,
T005_025,VID_20260224_091119_00_005,3726,parked,claude-visual-review,
T005_026,VID_20260224_091119_00_005,3840,cross_side,claude-visual-review,
T005_027,VID_20260224_091119_00_005,4309,parked,claude-visual-review,
T005_028,VID_20260224_091119_00_005,4502,cross_side,claude-visual-review,
T005_029,VID_20260224_091119_00_005,4947,adjacent_same,claude-visual-review,passed the rider on the left
T005_030,VID_20260224_091119_00_005,5156,unclear,claude-visual-review,
T005_031,VID_20260224_091119_00_005,5188,cross_side,claude-visual-review,
T005_032,VID_20260224_091119_00_005,5241,cross_side,claude-visual-review,
T005_033,VID_20260224_091119_00_005,5291,parked,claude-visual-review,
T005_034,VID_20260224_091119_00_005,5334,unclear,claude-visual-review,reflection in a shop window
T005_035,VID_20260224_091119_00_005,5410,oncoming,claude-visual-review,
T005_036,VID_20260224_091119_00_005,5570,parked,claude-visual-review,
T005_037,VID_20260224_091119_00_005,5804,parked,claude-visual-review,
T005_038,VID_20260224_091119_00_005,5809,cross_side,claude-visual-review,
T005_039,VID_20260224_091119_00_005,6070,unclear,claude-visual-review,
T005_040,VID_20260224_091119_00_005,6124,cross_side,claude-visual-review,
T005_041,VID_20260224_091119_00_005,6487,parked,claude-visual-review,
T005_042,VID_20260224_091119_00_005,6501,oncoming,claude-visual-review,
T005_043,VID_20260224_091119_00_005,6602,oncoming,claude-visual-review,
T005_044,VID_20260224_091119_00_005,6832,parked,claude-visual-review,
T005_045,VID_20260224_091119_00_005,7010,cross_side,claude-visual-review,
T005_046,VID_20260224_091119_00_005,7083,oncoming,claude-visual-review,
T005_047,VID_20260224_091119_00_005,7380,parked,claude-visual-review,
T005_048,VID_20260224_091119_00_005,7524,cross_side,claude-visual-review,
T005_049,VID_20260224_091119_00_005,7597,cross_side,claude-visual-review,
T005_050,VID_20260224_091119_00_005,7641,cross_side,claude-visual-review,
T005_051,VID_20260224_091119_00_005,7882,parked,claude-visual-review,
T005_052,VID_20260224_091119_00_005,8088,parked,claude-visual-review,
T005_053,VID_20260224_091119_00_005,8090,parked,claude-visual-review,
T005_054,VID_20260224_091119_00_005,8501,parked,claude-visual-review,
T005_055,VID_20260224_091119_00_005,8508,cross_side,claude-visual-review,
T005_056,VID_20260224_091119_00_005,8845,adjacent_same,claude-visual-review,stopped traffic the rider filters past
T005_057,VID_20260224_091119_00_005,8850,cross_side,claude-visual-review,campus shuttle bus crossing
T005_058,VID_20260224_091119_00_005,9045,parked,claude-visual-review,
T005_059,VID_20260224_091119_00_005,9230,cross_side,claude-visual-review,
T005_060,VID_20260224_091119_00_005,9313,ego_lane,claude-visual-review,maintenance cart on the campus path ahead
T002_001,VID_20260209_183334_00_002,10,unclear,claude-visual-review,
T002_002,VID_20260209_183334_00_002,26,unclear,claude-visual-review,
T002_003,VID_20260209_183334_00_002,167,unclear,claude-visual-review,person with a cart
T002_004,VID_20260209_183334_00_002,189,adjacent_same,claude-visual-review,street traffic seen from the campus sidewalk
T002_005,VID_20260209_183334_00_002,234,unclear,claude-visual-review,
T002_006,VID_20260209_183334_00_002,492,unclear,claude-visual-review,
T002_007,VID_20260209_183334_00_002,518,unclear,claude-visual-review,illuminated sign
T002_008,VID_20260209_183334_00_002,571,parked,claude-visual-review,campus utility cart parked on the walkway
T002_009,VID_20260209_183334_00_002,643,cross_side,claude-visual-review,
T002_010,VID_20260209_183334_00_002,655,unclear,claude-visual-review,
T002_011,VID_20260209_183334_00_002,1237,adjacent_same,claude-visual-review,
T002_012,VID_20260209_183334_00_002,2276,ego_lane,claude-visual-review,followed a pickup in the rider's lane for 15 s
T002_013,VID_20260209_183334_00_002,2417,parked,claude-visual-review,
T002_014,VID_20260209_183334_00_002,2478,oncoming,claude-visual-review,
T002_015,VID_20260209_183334_00_002,2493,adjacent_same,claude-visual-review,
T002_016,VID_20260209_183334_00_002,2573,ego_lane,claude-visual-review,traffic ahead in the lane
T002_017,VID_20260209_183334_00_002,2690,adjacent_same,claude-visual-review,
T002_018,VID_20260209_183334_00_002,3081,cross_side,claude-visual-review,
T002_019,VID_20260209_183334_00_002,3157,adjacent_same,claude-visual-review,
T002_020,VID_20260209_183334_00_002,3182,parked,claude-visual-review,
T002_021,VID_20260209_183334_00_002,3186,parked,claude-visual-review,
T002_022,VID_20260209_183334_00_002,3261,unclear,claude-visual-review,
T002_023,VID_20260209_183334_00_002,3427,parked,claude-visual-review,
T002_024,VID_20260209_183334_00_002,3791,cross_side,claude-visual-review,
T002_025,VID_20260209_183334_00_002,3801,cross_side,claude-visual-review,
T002_026,VID_20260209_183334_00_002,3813,cross_side,claude-visual-review,
T002_027,VID_20260209_183334_00_002,3852,cross_side,claude-visual-review,
T002_028,VID_20260209_183334_00_002,3923,cross_side,claude-visual-review,
T002_029,VID_20260209_183334_00_002,3945,cross_side,claude-visual-review,
T002_030,VID_20260209_183334_00_002,3953,cross_side,claude-visual-review,
T002_031,VID_20260209_183334_00_002,3975,cross_side,claude-visual-review,
T002_032,VID_20260209_183334_00_002,4090,parked,claude-visual-review,
T002_033,VID_20260209_183334_00_002,4400,parked,claude-visual-review,
T002_034,VID_20260209_183334_00_002,4405,parked,claude-visual-review,
T002_035,VID_20260209_183334_00_002,4436,parked,claude-visual-review,
T002_036,VID_20260209_183334_00_002,4707,cross_side,claude-visual-review,Metro bus crossing
T002_037,VID_20260209_183334_00_002,4781,cross_side,claude-visual-review,
T002_038,VID_20260209_183334_00_002,5136,parked,claude-visual-review,
T002_039,VID_20260209_183334_00_002,5172,parked,claude-visual-review,
T002_040,VID_20260209_183334_00_002,5255,parked,claude-visual-review,
T002_041,VID_20260209_183334_00_002,5424,cross_side,claude-visual-review,
T002_042,VID_20260209_183334_00_002,5575,oncoming,claude-visual-review,
T002_043,VID_20260209_183334_00_002,5587,parked,claude-visual-review,
T002_044,VID_20260209_183334_00_002,5835,parked,claude-visual-review,
T002_045,VID_20260209_183334_00_002,5925,unclear,claude-visual-review,building facade
T002_046,VID_20260209_183334_00_002,5989,oncoming,claude-visual-review,
T002_047,VID_20260209_183334_00_002,6084,unclear,claude-visual-review,gas station canopy
T002_048,VID_20260209_183334_00_002,6087,cross_side,claude-visual-review,
T002_049,VID_20260209_183334_00_002,6132,unclear,claude-visual-review,gas station canopy
T002_050,VID_20260209_183334_00_002,6214,parked,claude-visual-review,
T002_051,VID_20260209_183334_00_002,6234,parked,claude-visual-review,
T002_052,VID_20260209_183334_00_002,6248,parked,claude-visual-review,
T002_053,VID_20260209_183334_00_002,6375,parked,claude-visual-review,
T002_054,VID_20260209_183334_00_002,6399,parked,claude-visual-review,
T002_055,VID_20260209_183334_00_002,6856,cross_side,claude-visual-review,
T002_056,VID_20260209_183334_00_002,7103,unclear,claude-visual-review,construction barrier
T002_057,VID_20260209_183334_00_002,7176,parked,claude-visual-review,
T002_058,VID_20260209_183334_00_002,7177,parked,claude-visual-review,
T002_059,VID_20260209_183334_00_002,7673,unclear,claude-visual-review,
T002_060,VID_20260209_183334_00_002,7762,parked,claude-visual-review,
T005_061,VID_20260224_091119_00_005,508,adjacent_same,claude-visual-review,
T005_062,VID_20260224_091119_00_005,1421,parked,claude-visual-review,
T005_063,VID_20260224_091119_00_005,2093,ego_lane,claude-visual-review,the car the rider followed for 97 s
T005_064,VID_20260224_091119_00_005,2386,parked,claude-visual-review,
T005_065,VID_20260224_091119_00_005,3381,ego_lane,claude-visual-review,delivery moped ahead in the rider's lane
T005_066,VID_20260224_091119_00_005,4470,cross_side,claude-visual-review,
T005_067,VID_20260224_091119_00_005,5145,cross_side,claude-visual-review,
T005_068,VID_20260224_091119_00_005,5344,oncoming,claude-visual-review,
T005_069,VID_20260224_091119_00_005,5345,parked,claude-visual-review,
T005_070,VID_20260224_091119_00_005,5439,parked,claude-visual-review,
T005_071,VID_20260224_091119_00_005,5615,parked,claude-visual-review,
T005_072,VID_20260224_091119_00_005,5685,parked,claude-visual-review,
T005_073,VID_20260224_091119_00_005,5861,cross_side,claude-visual-review,
T005_074,VID_20260224_091119_00_005,6445,adjacent_same,claude-visual-review,travel lane beside the green bike lane
T005_075,VID_20260224_091119_00_005,6684,adjacent_same,claude-visual-review,traffic the rider filtered past
T005_076,VID_20260224_091119_00_005,6778,unclear,claude-visual-review,
T005_077,VID_20260224_091119_00_005,6928,cross_side,claude-visual-review,
T005_078,VID_20260224_091119_00_005,7293,adjacent_same,claude-visual-review,
T005_079,VID_20260224_091119_00_005,7601,cross_side,claude-visual-review,
T005_080,VID_20260224_091119_00_005,7693,cross_side,claude-visual-review,
T005_081,VID_20260224_091119_00_005,8775,adjacent_same,claude-visual-review,
T005_082,VID_20260224_091119_00_005,8783,parked,claude-visual-review,
T005_083,VID_20260224_091119_00_005,8877,adjacent_same,claude-visual-review,stopped traffic beside the rider at a light
T005_084,VID_20260224_091119_00_005,9215,cross_side,claude-visual-review,
T001_061,VID_20260209_090112_00_001,56,parked,claude-visual-review,
T001_062,VID_20260209_090112_00_001,68,parked,claude-visual-review,
T001_063,VID_20260209_090112_00_001,361,parked,claude-visual-review,
T001_064,VID_20260209_090112_00_001,578,parked,claude-visual-review,
T001_065,VID_20260209_090112_00_001,582,ego_lane,claude-visual-review,Durango ahead in the rider's lane
T001_066,VID_20260209_090112_00_001,790,cross_side,claude-visual-review,
T001_067,VID_20260209_090112_00_001,1597,parked,claude-visual-review,
T001_068,VID_20260209_090112_00_001,2048,parked,claude-visual-review,
T001_069,VID_20260209_090112_00_001,2943,cross_side,claude-visual-review,
T001_070,VID_20260209_090112_00_001,3301,ego_lane,claude-visual-review,Bronco ahead in the rider's lane
T001_071,VID_20260209_090112_00_001,3309,cross_side,claude-visual-review,
T001_072,VID_20260209_090112_00_001,4291,parked,claude-visual-review,
T001_073,VID_20260209_090112_00_001,4842,parked,claude-visual-review,
T001_074,VID_20260209_090112_00_001,4843,parked,claude-visual-review,
T001_075,VID_20260209_090112_00_001,5039,parked,claude-visual-review,
T001_076,VID_20260209_090112_00_001,5063,parked,claude-visual-review,
T001_077,VID_20260209_090112_00_001,5341,parked,claude-visual-review,
T001_078,VID_20260209_090112_00_001,5653,cross_side,claude-visual-review,
T001_079,VID_20260209_090112_00_001,5676,cross_side,claude-visual-review,
T001_080,VID_20260209_090112_00_001,5825,cross_side,claude-visual-review,entering a gas station on the left
T001_081,VID_20260209_090112_00_001,6058,cross_side,claude-visual-review,crossing ahead of the green bike lane under the overpass
T001_082,VID_20260209_090112_00_001,7445,parked,claude-visual-review,
T001_083,VID_20260209_090112_00_001,7824,parked,claude-visual-review,
T001_084,VID_20260209_090112_00_001,8064,cross_side,claude-visual-review,
T003_061,VID_20260223_090217_00_003,123,parked,claude-visual-review,
