video,track_id,label,labeler
typology_005_following_280s,179,parked,"claude-visual-review (demo clips, start/middle/end frames)"
typology_005_following_280s,188,parked,"claude-visual-review (demo clips, start/middle/end frames)"
typology_005_following_280s,189,parked,"claude-visual-review (demo clips, start/middle/end frames)"
typology_005_following_280s,205,parked,"claude-visual-review (demo clips, start/middle/end frames)"
typology_005_following_280s,238,parked,"claude-visual-review (demo clips, start/middle/end frames)"
typology_005_following_280s,261,parked,"claude-visual-review (demo clips, start/middle/end frames)"
typology_005_following_280s,285,parked,"claude-visual-review (demo clips, start/middle/end frames)"
typology_005_following_280s,303,parked,"claude-visual-review (demo clips, start/middle/end frames)"
typology_005_following_280s,311,parked,"claude-visual-review (demo clips, start/middle/end frames)"
typology_005_following_280s,324,parked,"claude-visual-review (demo clips, start/middle/end frames)"
typology_005_following_280s,348,parked,"claude-visual-review (demo clips, start/middle/end frames)"
typology_005_following_280s,393,parked,"claude-visual-review (demo clips, start/middle/end frames)"
typology_005_following_280s,1,ego_lane,"claude-visual-review (demo clips, start/middle/end frames)"
typology_005_following_280s,9,ego_lane,"claude-visual-review (demo clips, start/middle/end frames)"
typology_005_following_280s,62,parked,"claude-visual-review (demo clips, start/middle/end frames)"
typology_005_following_280s,115,parked,"claude-visual-review (demo clips, start/middle/end frames)"
typology_006_parked_700s,24,parked,"claude-visual-review (demo clips, start/middle/end frames)"
typology_006_parked_700s,27,parked,"claude-visual-review (demo clips, start/middle/end frames)"
typology_006_parked_700s,30,parked,"claude-visual-review (demo clips, start/middle/end frames)"
typology_006_parked_700s,68,unclear,"claude-visual-review (demo clips, start/middle/end frames)"
typology_006_parked_700s,86,parked,"claude-visual-review (demo clips, start/middle/end frames)"
typology_006_parked_700s,95,parked,"claude-visual-review (demo clips, start/middle/end frames)"
typology_006_parked_700s,93,parked,"claude-visual-review (demo clips, start/middle/end frames)"
typology_006_parked_700s,122,parked,"claude-visual-review (demo clips, start/middle/end frames)"
typology_006_parked_700s,148,parked,"claude-visual-review (demo clips, start/middle/end frames)"
typology_006_parked_700s,197,parked,"claude-visual-review (demo clips, start/middle/end frames)"
typology_006_parked_700s,204,parked,"claude-visual-review (demo clips, start/middle/end frames)"
typology_006_parked_700s,268,cross_side,"claude-visual-review (demo clips, start/middle/end frames)"
typology_006_parked_700s,309,cross_side,"claude-visual-review (demo clips, start/middle/end frames)"
typology_006_parked_700s,338,cross_side,"claude-visual-review (demo clips, start/middle/end frames)"
typology_006_parked_700s,356,cross_side,"claude-visual-review (demo clips, start/middle/end frames)"
typology_006_parked_700s,357,unclear,"claude-visual-review (demo clips, start/middle/end frames)"
typology_006_parked_700s,383,unclear,"claude-visual-review (demo clips, start/middle/end frames)"
typology_006_parked_700s,387,cross_side,"claude-visual-review (demo clips, start/middle/end frames)"
typology_006_parked_700s,433,cross_side,"claude-visual-review (demo clips, start/middle/end frames)"
typology_006_parked_700s,483,cross_side,"claude-visual-review (demo clips, start/middle/end frames)"
typology_006_parked_700s,489,cross_side,"claude-visual-review (demo clips, start/middle/end frames)"
typology_006_parked_700s,495,cross_side,"claude-visual-review (demo clips, start/middle/end frames)"
typology_006_parked_700s,114,parked,"claude-visual-review (demo clips, start/middle/end frames)"
typology_006_parked_700s,221,oncoming,"claude-visual-review (demo clips, start/middle/end frames)"
typology_006_parked_700s,351,cross_side,"claude-visual-review (demo clips, start/middle/end frames)"
typology_006_parked_700s,466,unclear,"claude-visual-review (demo clips, start/middle/end frames)"
typology_006_parked_700s,475,cross_side,"claude-visual-review (demo clips, start/middle/end frames)"
